name,method_name,qiskit_version,sample_size,platform_name,metric_name,metric_t1,metric_t1_value,metric_t2,metric_t2_value
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.19.2,100,ibm_rochester,circuit depth,ave,11.33,stdev,2.02
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.19.2,100,ibm_rochester,gate count,ave,17.77,stdev,2.978
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.19.2,100,rigetti_16q_aspen,circuit depth,ave,10.51,stdev,2.204
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.19.2,100,rigetti_16q_aspen,gate count,ave,17.37,stdev,3.572
