name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,29
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,29
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,30
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,30
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,31
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,31
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,32
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,32
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,33
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,33
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,34
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,34
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,35
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,21,35
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,36
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,36
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,37
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,37
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,38
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,22,38
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,39
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,39
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,40
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,40
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,41
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,41
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,42
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,42
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,43
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,43
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,44
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,18,44
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,45
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,45
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,46
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,18,46
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,47
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,47
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,48
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,48
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,49
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,18,49
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,50
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,50
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,51
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,51
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,8,52
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,52
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,53
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,53
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,7,54
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,54
