name,method_name,qiskit_version,date,platform_name,sample_size,seed,optimization_level,metric_name,metric_value
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,0,3,circuit depth,16
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,0,3,gate count,25
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,1,3,circuit depth,16
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,1,3,gate count,25
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,2,3,circuit depth,11
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,2,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,3,3,circuit depth,15
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,3,3,gate count,25
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,4,3,circuit depth,15
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,4,3,gate count,25
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,5,3,circuit depth,12
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,5,3,gate count,19
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,6,3,circuit depth,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,6,3,gate count,22
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,7,3,circuit depth,14
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,7,3,gate count,22
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,8,3,circuit depth,11
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,8,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,9,3,circuit depth,11
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,9,3,gate count,17
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,10,3,circuit depth,16
ex1_226.qasm circuit benchmark,qiskit compilation,0.16.4,2021-02-08,ibm_rochester,100,10,3,gate count,25
