name,method_name,qiskit_version,sample_size,platform_name,metric_name,metric_t1,metric_t1_value,metric_t2,metric_t2_value
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.13.0,100,ibm_rochester,circuit depth,ave,25.48,stdev,4.098
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.13.0,100,ibm_rochester,gate count,ave,50.14,stdev,6.767
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.13.0,100,rigetti_16q_aspen,circuit depth,ave,36.52,stdev,4.831
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.13.0,100,rigetti_16q_aspen,gate count,ave,80.43,stdev,6.759
