|Qasm file|Method|Date|Opt level|Platform|Seed|Circuit depth|Gate count
0|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|0|8|16
1|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|1|8|14
2|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|2|11|18
3|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|3|10|15
4|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|4|8|14
5|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|5|9|13
6|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|6|8|11
7|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|7|8|13
8|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|8|8|12
9|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|9|10|18
10|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|10|8|14
11|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|11|8|12
12|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|12|8|12
13|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|13|10|19
14|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|14|8|14
15|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|15|10|16
16|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|16|10|16
17|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|17|10|18
18|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|18|8|13
19|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|19|10|18
20|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|20|8|15
21|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|21|10|16
22|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|22|8|12
23|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|23|8|11
24|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|24|10|16
25|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|25|9|21
26|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|26|9|17
27|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|27|8|16
28|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|28|10|19
29|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|29|8|16
30|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|30|10|19
31|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|31|8|11
32|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|32|8|16
33|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|33|13|18
34|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|34|10|17
35|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|35|10|16
36|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|36|8|13
37|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|37|8|12
38|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|38|11|20
39|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|39|8|14
40|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|40|8|12
41|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|41|13|20
42|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|42|9|19
43|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|43|10|18
44|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|44|10|17
45|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|45|8|11
46|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|46|8|12
47|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|47|10|16
48|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|48|8|12
49|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|49|9|21
50|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|50|10|16
51|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|51|8|13
52|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|52|8|13
53|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|53|8|16
54|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|54|10|19
55|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|55|10|16
56|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|56|10|18
57|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|57|10|19
58|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|58|8|11
59|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|59|8|15
60|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|60|10|19
61|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|61|10|18
62|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|62|6|9
63|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|63|10|19
64|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|64|8|13
65|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|65|10|19
66|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|66|11|20
67|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|67|8|14
68|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|68|8|16
69|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|69|10|16
70|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|70|11|18
71|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|71|10|16
72|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|72|10|19
73|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|73|8|15
74|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|74|11|16
75|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|75|10|16
76|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|76|11|16
77|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|77|10|16
78|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|78|10|17
79|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|79|10|18
80|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|80|8|15
81|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|81|8|13
82|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|82|8|12
83|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|83|10|15
84|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|84|8|12
85|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|85|10|19
86|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|86|8|14
87|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|87|10|18
88|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|88|8|14
89|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|89|8|11
90|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|90|8|14
91|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|91|10|17
92|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|92|8|11
93|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|93|10|15
94|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|94|10|16
95|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|95|8|11
96|ex1_226.qasm|qiskit 0.45.2 compilation|2024-01-18|3|rigetti_16q_aspen|96|10|16
