|Qasm file|Method|Date|Opt level|Platform|Seed|Circuit depth|Gate count
0|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|0|11|18
1|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|1|8|13
2|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|2|12|19
3|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|3|7|9
4|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|4|9|19
5|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|105|10|18
6|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|6|13|21
7|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|107|10|17
8|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|8|14|22
9|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|9|9|13
10|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|10|14|24
11|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|11|8|14
12|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|12|11|19
13|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|13|10|19
14|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|14|9|17
15|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|15|8|13
16|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|16|8|14
17|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|117|14|20
18|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|18|15|25
19|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|119|10|17
20|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|20|8|13
21|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|121|11|17
22|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|22|10|18
23|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|123|11|15
24|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|24|9|21
25|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|125|12|21
26|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|26|14|22
27|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|27|11|19
28|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|28|11|19
29|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|129|12|20
30|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|30|7|13
31|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|31|13|20
32|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|32|8|14
33|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|33|9|15
34|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|34|10|19
35|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|35|10|14
36|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|36|11|17
37|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|37|10|20
38|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|138|14|20
39|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|39|8|14
40|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|40|5|9
41|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|41|7|13
42|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|42|14|22
43|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|143|9|13
44|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|44|11|18
45|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|45|10|21
46|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|46|13|19
47|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|47|10|20
48|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|48|11|17
49|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|49|11|19
50|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|50|5|9
51|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|151|14|22
52|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|152|11|17
53|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|53|10|18
54|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|154|9|19
55|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|55|9|14
56|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|56|16|24
57|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|57|9|17
58|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|58|16|24
59|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|59|12|16
60|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|60|10|19
61|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|61|11|18
62|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|62|11|15
63|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|163|13|21
64|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|64|10|17
65|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|65|13|21
66|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|66|5|9
67|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|67|14|20
68|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|68|8|12
69|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|69|11|19
70|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|70|11|18
71|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|171|11|17
72|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|72|6|9
73|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|73|10|19
74|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|74|11|19
75|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|75|8|13
76|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|176|14|22
77|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|77|11|19
78|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|78|10|14
79|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|279|12|16
80|ex1_226.qasm|Qiskit 0.22.4 compilation|2023-01-17|3|rigetti_16q_aspen|80|8|13
