|Qasm file|Method|Date|Opt level|Platform|Seed|Circuit depth|Gate count
0|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|0|45|89
1|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|1|45|89
2|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|2|37|80
3|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|3|33|79
4|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|4|31|77
5|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|5|43|89
6|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|6|43|87
7|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|7|30|67
8|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|8|45|89
9|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|9|43|87
10|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|10|37|78
11|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|11|37|78
12|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|12|35|81
13|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|13|31|77
14|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|14|45|89
15|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|15|35|76
16|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|16|36|78
17|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|17|35|76
18|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|18|45|89
19|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|19|33|79
20|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|20|37|80
21|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|21|33|79
22|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|22|37|80
23|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|23|36|85
24|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|24|31|77
25|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|25|35|81
26|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|26|33|79
27|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|27|35|81
28|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|28|40|89
29|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|29|33|79
30|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|30|38|82
31|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|31|33|79
32|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|32|35|76
33|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|33|30|67
34|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|34|31|77
35|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|35|33|79
36|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|36|31|77
37|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|37|38|82
38|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|38|43|87
39|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|39|40|89
40|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|40|36|85
41|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|41|37|78
42|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|42|36|85
43|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|43|35|81
44|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|44|30|67
45|ex1_226.qasm|Qiskit 0.13.0 compilation|2020-04-09|3|rigetti_16q_aspen|45|35|81
